Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
2019,1,1,-2.2,-28.3,0.7,41
2019,1,2,4,-11,0.2,37
2019,1,3,3.5,-8.7,0,
2019,1,4,6.4,-8.1,0,35
2019,1,5,-2,-8,0,40
2019,1,6,-2.2,-7.7,1.1,64
2019,1,7,0.1,-13.4,0,70
2019,1,8,-13.4,-20.4,0,79
2019,1,9,-13.2,-22.3,0,58
2019,1,10,-4.5,-17.1,0,51
2019,1,11,-11.5,-18.5,0,
2019,1,12,-8,-15.4,0,39
2019,1,13,-5,-15.2,0,
2019,1,14,-4.2,-12.4,0,
2019,1,15,-2.8,-20.3,0,51
2019,1,16,-11.9,-18.1,0,33
2019,1,17,-13.1,-25.1,0.2,
2019,1,18,-18.4,-24.2,0,
2019,1,19,-16.9,-21.9,0.4,55
2019,1,20,-14.8,-20.8,0.2,53
2019,1,21,-8.3,-15.3,0,54
2019,1,22,-2.9,-20.2,0,41
2019,1,23,-5.9,-23.7,0,58
2019,1,24,-13.4,-28.1,0,37
2019,1,25,-8.3,-26.9,0,
2019,1,26,-8.6,-14.1,0.4,33
2019,1,27,3.5,-12.9,1.7,77
2019,1,28,-8.9,-26.4,0,62
2019,1,29,-25.8,-31,0,40
2019,1,30,-21.9,-30.5,0,39
2019,1,31,-7,-23.8,0.2,36
2019,2,1,-6.7,-14.3,0,37
2019,2,2,-14.3,-20,0,60
2019,2,3,-19.8,-24.7,1.6,43
2019,2,4,-22.7,-27.9,2.6,
2019,2,5,-21.6,-23.6,2.9,
2019,2,6,-21.4,-32.1,0.2,
2019,2,7,-27.7,-40.3,0,
2019,2,8,-28.9,-41.6,0,
2019,2,9,-25.5,-37.2,0,
2019,2,10,-21.3,-36.7,0,36
2019,2,11,-17.9,-25.6,3,47
2019,2,12,-21.2,-31.2,0.4,
2019,2,13,-18.9,-24.6,2,40
2019,2,14,-23.3,-34.5,0,35
2019,2,15,-19,-36,0,50
2019,2,16,-13.4,-19.1,0,55
2019,2,17,-14.1,-20.7,0,
2019,2,18,-17.5,-29.2,0.2,
2019,2,19,-15.2,-30.1,0,
2019,2,20,-14.9,-26.9,0,
2019,2,21,-13.5,-28.2,0,
2019,2,22,-14.3,-29,0,37
2019,2,23,-14.8,-22.3,0,65
2019,2,24,-18.9,-32.3,0.2,49
2019,2,25,-21.6,-35,0,
2019,2,26,-17.7,-27.4,0.2,
2019,2,27,-9.9,-24.1,0,39
2019,2,28,-9.9,-22.5,0,
2019,3,1,-15.2,-26.7,0.2,50
2019,3,2,-23.1,-30.8,0,47
2019,3,3,-17.6,-25.4,0,63
2019,3,4,-13,-20.8,0,72
2019,3,5,-7.2,-19.2,0,48
2019,3,6,-14.8,-25.3,0,
2019,3,7,-9,-25.8,0,41
2019,3,8,-1.6,-16.2,0,
2019,3,9,-6.1,-16.7,0,41
2019,3,10,-9.2,-20.1,0,
2019,3,11,-1.3,-20.3,0.2,
2019,3,12,3.3,-10,0,31
2019,3,13,1.3,-6.6,0,41
2019,3,14,0.1,-9.7,0,40
2019,3,15,0.7,-14.2,0,
2019,3,16,3.1,-12,0,
2019,3,17,2.6,-11.3,0,
2019,3,18,3.2,-3.8,0,38
2019,3,19,7.1,-5.5,0,33
2019,3,20,11.3,-2.3,0,
2019,3,21,9.9,-3.6,0,
2019,3,22,9.6,-1.4,0,38
2019,3,23,11.7,-1.5,0,48
2019,3,24,,,,
2019,3,25,1.8,-7,0,32
2019,3,26,16.2,-0.6,0,
2019,3,27,9.6,0.7,0,57
2019,3,28,5.8,-4.5,0,35
2019,3,29,4.8,-5.9,0,48
2019,3,30,7.6,-6.7,0,
2019,3,31,3.3,-3.5,0,37
2019,4,1,7.6,-4.3,0.2,48
2019,4,2,3.5,-6.4,0.2,60
2019,4,3,8.7,-9,0,47
2019,4,4,17.7,1.7,4.8,48
2019,4,5,8.9,1.6,0,40
2019,4,6,4.9,0.1,4.8,58
2019,4,7,16,0.9,0,54
2019,4,8,16,-1.2,0,55
2019,4,9,8.1,-2.7,0,
2019,4,10,3.5,-6.7,0,40
2019,4,11,6,-5.5,0,43
2019,4,12,9.7,-6.3,0,50
2019,4,13,13.3,-6.8,0,44
2019,4,14,12.8,1.1,2,47
2019,4,15,15.6,0.4,0,55
2019,4,16,14.3,-5.4,0,
2019,4,17,10.4,0.4,10,
2019,4,18,14.7,-0.4,0,
2019,4,19,24.3,2.1,0,55
2019,4,20,18.4,4.8,0,37
2019,4,21,16.4,0.2,0,45
2019,4,22,18.2,-3.8,0,33
2019,4,23,22.6,6.7,0,55
2019,4,24,18.5,3.3,0.7,54
2019,4,25,12.6,-1.5,0,80
2019,4,26,13.7,-4.4,0,
2019,4,27,12,-1.9,0,48
2019,4,28,4.2,-1.5,1.6,71
2019,4,29,5.4,-7,0.5,44
2019,4,30,9.3,-7.5,0,31
2019,5,1,10.8,-6,0,
2019,5,2,16.7,-0.3,0,52
2019,5,3,17.2,-4.2,0,67
2019,5,4,10,-3.1,0,51
2019,5,5,9.3,-7.9,0,36
2019,5,6,10.8,-8.7,0,31
2019,5,7,15.2,-3.2,0,39
2019,5,8,12.8,-1.6,0,44
2019,5,9,12.3,-6.1,0,36
2019,5,10,18.4,0.9,4.4,54
2019,5,11,14.2,2.1,0.7,50
2019,5,12,21.1,-1.8,0.6,43
2019,5,13,24.8,3.8,0.4,55
2019,5,14,22.3,3.5,0,
2019,5,15,24.7,7.1,0.4,74
2019,5,16,14.3,0,0,37
2019,5,17,14.6,3.2,0,50
2019,5,18,12.5,2.2,0,50
2019,5,19,15.3,-2.9,0,40
2019,5,20,19.1,4.2,0,47
2019,5,21,21.3,1.6,0,52
2019,5,22,22.5,5.1,0,63
2019,5,23,23.3,0.8,0,43
2019,5,24,16.8,3.8,0,49
2019,5,25,22.9,2.7,0,49
2019,5,26,13.8,1.4,0,41
2019,5,27,19.2,-2.3,0,
2019,5,28,26.2,-0.5,0,35
2019,5,29,31.1,8.2,0,42
2019,5,30,31.5,9.9,0,57
2019,5,31,20.3,4.5,0,51
2019,6,1,25,3.8,0,34
2019,6,2,29.4,9.1,0,44
2019,6,3,34.5,12,0,56
2019,6,4,26.7,11.9,0,55
2019,6,5,28.6,8.3,0,54
2019,6,6,32.3,8.1,10.9,81
2019,6,7,24.6,14,2.6,52
2019,6,8,17.2,5.4,1.7,51
2019,6,9,20.3,3,0,50
2019,6,10,23.7,5.5,0,42
2019,6,11,20.7,7.7,0.3,44
2019,6,12,21.9,5.1,0,36
2019,6,13,30.1,9.5,1.3,56
2019,6,14,26.2,13.4,0.2,36
2019,6,15,16.7,9.3,0,37
2019,6,16,15.6,6.8,0,
2019,6,17,22.3,6.7,0,31
2019,6,18,24.5,5.4,0,45
2019,6,19,23.7,11,9.3,53
2019,6,20,17.5,11.1,15.6,
2019,6,21,17.2,9.2,8.2,59
2019,6,22,19.9,8.6,2,41
2019,6,23,23.4,12.1,0,40
2019,6,24,22.8,12.5,0.6,47
2019,6,25,24,9.7,0,42
2019,6,26,25.7,7.8,0,
2019,6,27,26.4,12.9,0,40
2019,6,28,27,15.4,5.7,53
2019,6,29,25.2,14.6,18.9,51
2019,6,30,24.7,12.8,0,39
2019,7,1,27.5,10.2,18.3,85
2019,7,2,18.7,9.2,0,46
2019,7,3,21.5,11.5,0,
2019,7,4,23.2,11.5,3.8,39
2019,7,5,23.8,11.8,0,
2019,7,6,25.7,11.2,0,35
2019,7,7,28.2,14.2,5.1,59
2019,7,8,25.8,15.1,20,39
2019,7,9,20.3,15.1,0.3,34
2019,7,10,24.1,10.1,0,
2019,7,11,28.3,14.9,0,55
2019,7,12,,,,
2019,7,13,30.6,12.6,0,31
2019,7,14,30.3,14.6,0,
2019,7,15,25.6,15.4,0,42
2019,7,16,24.4,11.8,22.6,33
2019,7,17,24.6,14.8,0.4,35
2019,7,18,26.4,14.7,0,50
2019,7,19,23,10.8,0,46
2019,7,20,22.1,7.7,0,34
2019,7,21,24.7,11.1,0,
2019,7,22,26.9,9.9,0,
2019,7,23,28.2,12.7,0,38
2019,7,24,27.2,16.7,8,50
2019,7,25,,,,
2019,7,26,25.6,12.7,0,55
2019,7,27,32.1,9.2,0,38
2019,7,28,23,10.4,0,65
2019,7,29,22.1,5.7,0,
2019,7,30,27.1,8,0,39
2019,7,31,32.1,15.3,0,
2019,8,1,30.7,15.7,0,37
2019,8,2,33.6,14,0,38
2019,8,3,34,17.4,0,32
2019,8,4,27.6,10.7,0,34
2019,8,5,27.9,9.9,0,39
2019,8,6,28.2,11.3,0,50
2019,8,7,22.5,7.4,0,42
2019,8,8,25.5,4.7,0,
2019,8,9,31,10.1,0,48
2019,8,10,20.7,12.3,5.5,37
2019,8,11,24.5,8.4,0,38
2019,8,12,16.7,10.5,42.6,60
2019,8,13,19.3,9.3,0,
2019,8,14,25.2,11.6,0,37
2019,8,15,25.2,11.3,3.1,61
2019,8,16,28.4,10,0,48
2019,8,17,17.8,9.2,0,44
2019,8,18,24,5.7,0,36
2019,8,19,29.9,6,0,35
2019,8,20,22,5.3,0,
2019,8,21,24.8,6.4,0,34
2019,8,22,27.7,9.8,0,57
2019,8,23,24.1,15.1,0,40
2019,8,24,29.4,13.3,7,42
2019,8,25,23.1,12.3,4.7,44
2019,8,26,21.3,9.7,0,63
2019,8,27,18.6,9.3,0.7,59
2019,8,28,26,5.6,0,55
2019,8,29,19.9,7.9,0,39
2019,8,30,18.9,3.8,0,
2019,8,31,26.7,9.5,1.2,37
2019,9,1,20.4,10.8,1.4,
2019,9,2,20.2,11.2,7.3,54
2019,9,3,20.4,8.2,0,36
2019,9,4,27.9,8,0,49
2019,9,5,25.5,7.9,0,42
2019,9,6,22,5.3,0,
2019,9,7,13.8,4.3,4.9,33
2019,9,8,18.8,2.1,0,
2019,9,9,11.7,8.5,12.2,45
2019,9,10,14.8,10.4,8.5,38
2019,9,11,13.1,9.7,11.4,39
2019,9,12,11.1,8.6,12.7,
2019,9,13,20.9,3.2,0,
2019,9,14,22.9,8.1,1.8,39
2019,9,15,29.9,8.1,0,
2019,9,16,30.8,12.6,0,41
2019,9,17,28.5,15.5,1.1,37
2019,9,18,23.6,12.2,4.3,50
2019,9,19,23.2,10.8,0,59
2019,9,20,20.4,12.3,2.1,75
2019,9,21,17,8.8,0,45
2019,9,22,22.2,3.5,0,
2019,9,23,26.1,6.6,0,37
2019,9,24,17.6,6.1,1.3,56
2019,9,25,,,,
2019,9,26,10.7,1.6,1.1,36
2019,9,27,6.8,1.8,6.6,
2019,9,28,7.4,0.6,0.9,46
2019,9,29,2.7,0.3,17.8,57
2019,9,30,4.1,1.2,1,45
2019,10,1,6.1,0.7,0,
2019,10,2,5.7,-0.6,0,
2019,10,3,7,-0.6,0,38
2019,10,4,7,1.2,0.4,45
2019,10,5,14.7,3.3,0,54
2019,10,6,14.5,2.2,0,61
2019,10,7,19.6,-0.4,0,42
2019,10,8,11.7,-0.2,0,50
2019,10,9,-0.2,-5.3,1.5,46
2019,10,10,1.2,-6.7,0,39
2019,10,11,3.8,-8,0,61
2019,10,12,3.1,-4.1,0,62
2019,10,13,8.5,-7.7,0,
2019,10,14,8.3,-3,0,52
2019,10,15,5.2,-2.9,0,36
2019,10,16,17.1,-1,0,46
2019,10,17,18.8,-1.2,0,45
2019,10,18,14.3,1.3,0,37
2019,10,19,13.8,-2.2,0,37
2019,10,20,11.2,-4.3,0,40
2019,10,21,9.4,-6.1,0,
2019,10,22,6.4,-8.8,0,
2019,10,23,7.6,-8.4,0,33
2019,10,24,5.7,-2.7,0,
2019,10,25,18.8,-1.9,0,53
2019,10,26,9.4,-4.4,0,71
2019,10,27,-4.4,-9.7,0,54
2019,10,28,-2.7,-10,1.8,68
2019,10,29,-7.2,-10.3,0.4,56
2019,10,30,-2.6,-14.2,0.2,37
2019,10,31,2.1,-5.8,0.7,45
2019,11,1,2,-4,0.7,58
2019,11,2,3.4,-8.2,0,
2019,11,3,0.7,-2.6,1.7,42
2019,11,4,-2.6,-13.2,0,40
2019,11,5,-1.8,-13.5,0.6,42
2019,11,6,-10,-20.2,0,
2019,11,7,-6.4,-20.2,0,
2019,11,8,5.6,-11.5,0,42
2019,11,9,1.4,-11.1,3.2,48
2019,11,10,-10.9,-16.9,0.2,42
2019,11,11,-10.4,-19.4,0,39
2019,11,12,-2,-14.2,0,32
2019,11,13,-2,-11.3,0,31
2019,11,14,0.9,-3,0,37
2019,11,15,2.4,-2.3,0,38
2019,11,16,4.9,0,0,55
2019,11,17,5,-1.4,0,31
2019,11,18,8,-0.2,1.7,57
2019,11,19,3.6,-3.1,0,
2019,11,20,-0.7,-16.4,2.1,36
2019,11,21,-1.7,-17.5,0,
2019,11,22,2,-11.8,0,32
2019,11,23,6.3,-3.5,0,31
2019,11,24,7.1,-4,1.6,63
2019,11,25,,,,
2019,11,26,,,,
2019,11,27,,,,
2019,11,28,,,,
2019,11,29,,,,
2019,11,30,,,,
2019,12,1,,,,
2019,12,2,,,,
2019,12,3,,,,
2019,12,4,,,,
2019,12,5,,,,
2019,12,6,,,,
2019,12,7,,,,
2019,12,8,,,,
2019,12,9,,,,
2019,12,10,,,,
2019,12,11,,,,
2019,12,12,,,,
2019,12,13,,,,
2019,12,14,,,,
2019,12,15,,,,
2019,12,16,,,,
2019,12,17,,,,
2019,12,18,,,,
2019,12,19,,,,
2019,12,20,,,,
2019,12,21,,,,
2019,12,22,,,,
2019,12,23,,,,
2019,12,24,,,,
2019,12,25,,,,
2019,12,26,,,,
2019,12,27,,,,
2019,12,28,,,,
2019,12,29,,,,
2019,12,30,,,,
2019,12,31,,,,
